HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.choice1,Answer.expl-1,Answer.choice2,Answer.expl-2,Answer.choice3,Answer.expl-3,Answer.choice4,Answer.expl-4,Answer.choice5,Answer.expl-5,Answer.choice6,Answer.expl-6,Answer.choice7,Answer.expl-7,Answer.choice8,Answer.expl-8,Answer.choice9,Answer.expl-9,Answer.choice10,Answer.expl-10,Answer.choice11,Answer.expl-11,Answer.choice12,Answer.expl-12,Answer.choice13,Answer.expl-13,Answer.choice14,Answer.expl-14,Approve,Reject,
3MJ28H2Y1EFTMP8F1YSKOHHETAHO5U,3AHTORI2CV5BMIELXJL6G74PTM7HXP,Twitter Misinformation User Survey,Read Machine Learning classification for tweets contain misinformation about vaccines. Rate the classification templates and describe why they are good or bad.,"tweets, misinformation, vaccine, reasoning, rate",$0.20 ,Mon Sep 17 22:23:41 PDT 2018,20,BatchId:3374578;OriginalHitTemplateId:920937332;,3600,259200,Mon Sep 24 22:23:41 PDT 2018,,,308XBLVESJB0V2FYK2539IHVAA7BRE,ACB9BNW7MC207,Approved,Tue Sep 18 00:23:59 PDT 2018,Tue Sep 18 00:26:28 PDT 2018,Fri Sep 21 00:26:28 PDT 2018,Tue Sep 18 15:35:06 PDT 2018,,,149,100% (18/18),100% (18/18),100% (1/1),B,{},B,{},C,{},A,{},C,{},A,{},B,{},A,{},C,{},B,{},A,{},C,{},B,{},A,{},,,
3MJ28H2Y1EFTMP8F1YSKOHHETAHO5U,3AHTORI2CV5BMIELXJL6G74PTM7HXP,Twitter Misinformation User Survey,Read Machine Learning classification for tweets contain misinformation about vaccines. Rate the classification templates and describe why they are good or bad.,"tweets, misinformation, vaccine, reasoning, rate",$0.20 ,Mon Sep 17 22:23:41 PDT 2018,20,BatchId:3374578;OriginalHitTemplateId:920937332;,3600,259200,Mon Sep 24 22:23:41 PDT 2018,,,339ANSOTR69OV6G90SONUTZUA7OKIS,A137M5O8K0GMJD,Approved,Mon Sep 17 22:42:28 PDT 2018,Mon Sep 17 23:03:11 PDT 2018,Thu Sep 20 23:03:11 PDT 2018,Tue Sep 18 15:35:06 PDT 2018,,,1243,100% (1/1),100% (1/1),100% (1/1),B,Knowing the reason helps here. It's not a familiar topic to me.,B,Knowing the reason helps here. It's not a familiar topic to me. I've never even heard of thimerosal before.,A,Explanation is long and doesn't clear up much for anyone who actually believes the original tweet.,A,The explanation is long and is above my head at some points. I haven't taken high school biology in many years.,A,The explanation could be convincing if there was some kind of actual source linked to it.,C,The explanation isn't really addressing what the tweeter proposes as a problem. I'm not sure it'll convince anyone.,B,"The explanation is more convincing than none in this case, but it'd again be nice to have a link to a source with more info. Especially in this case where the tweeter is claiming there's no source.",B,"This explanation is good and addresses the original context, but again a more info source link would be nice to have.",B,The explanation is good but I'm not sure if it's enough to downplay the original tweet's fear mongering. Maybe if it addressed the fact that these 50 cases were a really small number comparatively?,A,I'm not sure if the explanation is actually directly addressing the original tweet. It might be more convincing in this case to leave it off.,C,The explanation doesn't address the bogus Vitamin D claim or the fake source the tweeter provided. Not sure either A or B is more convincing.,B,A link to the source study or some reputable source might help. But I think the explanation is pretty good and fitx this context.,B,I think the explanation is good. I'm not entirely sure what else to reply to this kind of crazy claim...,B,The explanation is great here and addresses the original tweeter. It's a bit long but relevant to the topic.,,,
3MJ28H2Y1EFTMP8F1YSKOHHETAHO5U,3AHTORI2CV5BMIELXJL6G74PTM7HXP,Twitter Misinformation User Survey,Read Machine Learning classification for tweets contain misinformation about vaccines. Rate the classification templates and describe why they are good or bad.,"tweets, misinformation, vaccine, reasoning, rate",$0.20 ,Mon Sep 17 22:23:41 PDT 2018,20,BatchId:3374578;OriginalHitTemplateId:920937332;,3600,259200,Mon Sep 24 22:23:41 PDT 2018,,,33CID571050KP9G80PT15NAKGPVL3V,A2QDAN61DB2G9Z,Approved,Mon Sep 17 22:27:46 PDT 2018,Mon Sep 17 22:30:34 PDT 2018,Thu Sep 20 22:30:34 PDT 2018,Tue Sep 18 15:35:06 PDT 2018,,,168,100% (2/2),100% (2/2),100% (2/2),B,it is positive,B,it is my opinion,B,i like this post,B,it is my opinion,A,i like this post,B,it is positive,A,it is my opinion,B,it is positive,B,it is positive,A,i like this post,B,{},B,it is positive,C,it is positive,B,it is my opinion,,,
3MJ28H2Y1EFTMP8F1YSKOHHETAHO5U,3AHTORI2CV5BMIELXJL6G74PTM7HXP,Twitter Misinformation User Survey,Read Machine Learning classification for tweets contain misinformation about vaccines. Rate the classification templates and describe why they are good or bad.,"tweets, misinformation, vaccine, reasoning, rate",$0.20 ,Mon Sep 17 22:23:41 PDT 2018,20,BatchId:3374578;OriginalHitTemplateId:920937332;,3600,259200,Mon Sep 24 22:23:41 PDT 2018,,,345LHZDEDYZN8Z3293L2WA63TIVU39,A171SF2UF7YUN4,Approved,Tue Sep 18 06:05:29 PDT 2018,Tue Sep 18 06:08:07 PDT 2018,Fri Sep 21 06:08:07 PDT 2018,Tue Sep 18 15:35:06 PDT 2018,,,158,100% (1/1),100% (1/1),100% (1/1),B,{},A,{},C,{},A,{},,{},B,{},,{},A,{},,{},B,{},A,{},C,{},B,{},A,{},,,
3MJ28H2Y1EFTMP8F1YSKOHHETAHO5U,3AHTORI2CV5BMIELXJL6G74PTM7HXP,Twitter Misinformation User Survey,Read Machine Learning classification for tweets contain misinformation about vaccines. Rate the classification templates and describe why they are good or bad.,"tweets, misinformation, vaccine, reasoning, rate",$0.20 ,Mon Sep 17 22:23:41 PDT 2018,20,BatchId:3374578;OriginalHitTemplateId:920937332;,3600,259200,Mon Sep 24 22:23:41 PDT 2018,,,34QN5IT0T0YTTAXSND2EYKQ7TDC801,A38LAPWV190YKU,Approved,Mon Sep 17 22:26:20 PDT 2018,Mon Sep 17 22:48:53 PDT 2018,Thu Sep 20 22:48:53 PDT 2018,Tue Sep 18 15:35:07 PDT 2018,,,1353,100% (1/1),100% (1/1),100% (1/1),B,The facts behind the probability are key in understanding why it's flagging the tweet as misinformation.,B,Explaining the reasoning behind the use of thimerosal and why it's not harmful to substantiate the misinformation flag.,B,Explaining why the ingredients are needed and potential risk of including those ingredients is important to argue against any doubters of vaccinations,B,It's key to understand why human embryos are needed for the creation of the vaccine,C,There needs to be more detailed facts behind B.  A link to several studies maybe.,B,Understanding the testing before a vaccine is approved for use is important to arguing its risks,B,Knowing the history of researching behind vaccines is key to understanding why this tweet is misinformed,B,It's important for more people to understand why vaccines (inactivated) cannot actually cause the disease to appear,B,"The information details, with historical data, that vaccines are very effective at reducing cases of the diseases they're intended to prevent",A,The facts were a little too broad.  Statistics or a link to a study would be helpful.,B,Understanding the effectiveness of a particular vaccine is important,B,Stressing the researching and sample size is important in understanding why the vaccines aren't causing autism,C,The information is a little too broad.  A study link would be helpful.,B,The study is important in understanding why it's safe for infants to receive vaccinations,,,
3MJ28H2Y1EFTMP8F1YSKOHHETAHO5U,3AHTORI2CV5BMIELXJL6G74PTM7HXP,Twitter Misinformation User Survey,Read Machine Learning classification for tweets contain misinformation about vaccines. Rate the classification templates and describe why they are good or bad.,"tweets, misinformation, vaccine, reasoning, rate",$0.20 ,Mon Sep 17 22:23:41 PDT 2018,20,BatchId:3374578;OriginalHitTemplateId:920937332;,3600,259200,Mon Sep 24 22:23:41 PDT 2018,,,38BQUHLA9X7THGRFJZE8T3NKBLKOMY,A3UYUPDU2R5FHT,Approved,Mon Sep 17 23:02:10 PDT 2018,Mon Sep 17 23:12:23 PDT 2018,Thu Sep 20 23:12:23 PDT 2018,Tue Sep 18 15:35:07 PDT 2018,,,613,100% (1/1),100% (1/1),100% (1/1),A,aluminium is added in water,B,then it is  harmful levels,C,then it is harm ful,B,it is a chemical,A,then algorithm  has 98%probability,A,it is MMR APProved uses,B,it is biological,C,{},,it is equal probality,B,it provide some diseases,A,it reduces rick of full illness,B,it analysis in thousand vaccinated and unvaccinated,B,there is no valid evidence,B,the algorithm probability is 98%,,,
3MJ28H2Y1EFTMP8F1YSKOHHETAHO5U,3AHTORI2CV5BMIELXJL6G74PTM7HXP,Twitter Misinformation User Survey,Read Machine Learning classification for tweets contain misinformation about vaccines. Rate the classification templates and describe why they are good or bad.,"tweets, misinformation, vaccine, reasoning, rate",$0.20 ,Mon Sep 17 22:23:41 PDT 2018,20,BatchId:3374578;OriginalHitTemplateId:920937332;,3600,259200,Mon Sep 24 22:23:41 PDT 2018,,,3CFVK00FWMSJMS3QJRRZCQM4QH96L0,A142YO5V1GQH4W,Approved,Tue Sep 18 00:40:29 PDT 2018,Tue Sep 18 00:58:41 PDT 2018,Fri Sep 21 00:58:41 PDT 2018,Tue Sep 18 15:35:07 PDT 2018,,,1092,100% (1/1),100% (1/1),100% (1/1),A,THAT IS VERY WELL,A,THE TWEET IS INCORRECT,B,The very small amounts of these ingredients that remain in the final product arenäó»t harmful.,C,THAT TWO TWEET IS GIVE SAME TWEET,B,vaccines do not cause injuries,,{},A,the tweet has 98% probability of being misinformation.,B,actually show the vaccine is working,B,The MMR vaccine is very safe and effective.,A,the tweet has 98% probability of being misinformation.,B,most circulating flu viruses are well-matched to the flu vaccine,B,in autism rates between thousands of vaccinated and unvaccinated children.,B,There is no valid evidence proving the claims,A,the tweet has 98% probability of being misinformation.,,,
3MJ28H2Y1EFTMP8F1YSKOHHETAHO5U,3AHTORI2CV5BMIELXJL6G74PTM7HXP,Twitter Misinformation User Survey,Read Machine Learning classification for tweets contain misinformation about vaccines. Rate the classification templates and describe why they are good or bad.,"tweets, misinformation, vaccine, reasoning, rate",$0.20 ,Mon Sep 17 22:23:41 PDT 2018,20,BatchId:3374578;OriginalHitTemplateId:920937332;,3600,259200,Mon Sep 24 22:23:41 PDT 2018,,,3FIJLY1B6VB5W6BZCCNAND81OP1PF6,A2U7U0A4G92GTR,Approved,Mon Sep 17 22:30:22 PDT 2018,Mon Sep 17 22:44:33 PDT 2018,Thu Sep 20 22:44:33 PDT 2018,Tue Sep 18 15:35:07 PDT 2018,,,851,100% (1/1),100% (1/1),100% (1/1),A,ALGORITHM HAS 98 % PROBABILITY OF BEING MISINFORMATION TO THE REASON,C,"IN A AND B, ALGORITHM IS SAME IN 98% TWEET PROBABILITY OF BEING INFORMATION.",B,A IS A NOT SUIT FOR THERE,B,THE VACCINE RESEARCH FETAL TISSUE IS SUIT FOR  B,A,"IN A, PHARMACIST ALGORITHM , THE TWEET HAS 98% IS RIGHT",B,"B, MORE PEOPLE IS DIE MMR VACCINE MMR IS APPROVED FOR USE IT.",A,"NO PRO-VACCINE PERSON CAN PROVIDE ALGORITHM, THE TWEET HAS 98% PROBABILITY IS MISINFORMATION. IT IS SUITABLE",B,"B IS SUITABLE FOR A HINT, IT IS RELATED WITH  BACTERIA DISEASES",B,B IS EXPLANATION OF THE HINT.,A,BECAUSE THE 2 CENTURIES OF STATISTICS IS RELATED WITH A,A,"THE REASON  FOR A IS, ABOUT VITAMIN D EFFECTIVE IN THE HINT",C,"THE HINT AND A, B ARE THE SAME",A,THE HINT IS  RIGHT RELATED IN A,B,B IS CORRECTED WITH THE HINT,,,
3MJ28H2Y1EFTMP8F1YSKOHHETAHO5U,3AHTORI2CV5BMIELXJL6G74PTM7HXP,Twitter Misinformation User Survey,Read Machine Learning classification for tweets contain misinformation about vaccines. Rate the classification templates and describe why they are good or bad.,"tweets, misinformation, vaccine, reasoning, rate",$0.20 ,Mon Sep 17 22:23:41 PDT 2018,20,BatchId:3374578;OriginalHitTemplateId:920937332;,3600,259200,Mon Sep 24 22:23:41 PDT 2018,,,3K5TEWLKGWI2BHALZW2UW2ABQ60IVJ,A3TOPC0NUS7RNT,Approved,Mon Sep 17 23:31:03 PDT 2018,Mon Sep 17 23:40:57 PDT 2018,Thu Sep 20 23:40:57 PDT 2018,Tue Sep 18 15:35:07 PDT 2018,,,594,100% (1/1),100% (1/1),100% (1/1),B,NA,C,NA,A,NA,B,NA,C,NA,A,NA,A,NA,C,NA,B,NA,A,NA,C,NA,A,NA,C,NA,B,NA,,,
3MJ28H2Y1EFTMP8F1YSKOHHETAHO5U,3AHTORI2CV5BMIELXJL6G74PTM7HXP,Twitter Misinformation User Survey,Read Machine Learning classification for tweets contain misinformation about vaccines. Rate the classification templates and describe why they are good or bad.,"tweets, misinformation, vaccine, reasoning, rate",$0.20 ,Mon Sep 17 22:23:41 PDT 2018,20,BatchId:3374578;OriginalHitTemplateId:920937332;,3600,259200,Mon Sep 24 22:23:41 PDT 2018,,,3M23Y66PO3E6Q5YG30O0OC0ZIA76S2,A3KET59RR8FGX7,Approved,Mon Sep 17 22:47:29 PDT 2018,Mon Sep 17 22:57:17 PDT 2018,Thu Sep 20 22:57:17 PDT 2018,Tue Sep 18 15:35:07 PDT 2018,,,588,100% (1/1),100% (1/1),100% (1/1),B,It contains an explanation as to why aluminum ay not be something to be concerned about.,B,It explains why mercury in vaccines is not harmful.,A,"Option B contains information irrelevant to the Tweet, so option A is better.",A,The explanation for option B doesn't make sense so option A is better.,C,"Depending on what the article says, either choices could be good.",B,Option B explains why MMR probably doesn't kill people.,A,Option B is irrelevant info so A is better.,B,B explains why the foul-mouthed idiot is incorrect in his thinking.,B,Option B gives statistics on why the tweet is wrong.,B,Option B explains why the tweet is wrong.,A,"Option B doesn't mention Vitamin D at all, so A is better.",B,B refutes the tweet.,B,B refutes the tweet.,B,B refutes the tweet.,,,
